parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_life_stage,Early adult
pvalue,0.9080251
gene_symbol,Dnajc8
mouse_strain,C57BL
analysis_id,w032qn84rbzj5e4
gene_accession_id,MGI:1915848
