pvalue,0.62284
parameter_name,Time mobile dark side
gene_accession_id,MGI:1927232
mouse_strain,C57BL
parameter_id,JAX_LDT_005_001
analysis_id,5sz9o2877i666dx
mouse_life_stage,Early adult
gene_symbol,Rab13
