gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
mouse_life_stage,Early adult
analysis_id,l27n7q89c324479
mouse_strain,C57BL
pvalue,0.5228557
