gene_symbol,Galk2
pvalue,0.1197062
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
analysis_id,0pzs2k5lggg1jwb
parameter_name,Shape of ribcage
gene_accession_id,MGI:1917226
