parameter_name,Lean/Body weight
analysis_id,1eh0bv7w54uj938
pvalue,0.5027879
gene_accession_id,MGI:1925049
parameter_id,JAXLA_DXA_008_001
mouse_strain,C59BL
mouse_life_stage,Early adult
gene_symbol,Sla2
