analysis_id,zl07wb6i4v45995
parameter_name,Corneal opacity
mouse_strain,C57BL
pvalue,0.3577204
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
gene_symbol,Fpgs
