analysis_id,i550ai2v6x529y1
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
pvalue,0.2878748
gene_symbol,Nr0b2
mouse_strain,B6J
parameter_name,12kHz-evoked ABR Threshold
