analysis_id,5st9r8oflmh7357
parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
gene_symbol,Ivd
pvalue,0.9538374
gene_accession_id,MGI:1929242
mouse_strain,C57BL
mouse_life_stage,Early adult
