parameter_name,HDL-cholesterol
gene_accession_id,MGI:1346344
parameter_id,HMGULA_CBC_016_001
mouse_strain,B6J
analysis_id,ym4ey5z1075ly94
mouse_life_stage,Early adult
gene_symbol,Nr0b2
pvalue,0.201023
