gene_symbol,AU040320
parameter_id,ESLIM_005_001_005
pvalue,0.7792252
mouse_strain,C57BL
gene_accession_id,MGI:2140475
analysis_id,838p371zz7jr566
parameter_name,Bone Mineral Content
mouse_life_stage,Middle aged adult
