parameter_name,Mean-cell-volume
analysis_id,518o63320117b05
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_005
pvalue,0.5198696
gene_symbol,Slc30a4
mouse_strain,C57BL
gene_accession_id,MGI:1345282
