analysis_id,91w861263rf491x
mouse_strain,C57BL
parameter_name,Total cholesterol
gene_accession_id,MGI:99501
pvalue,0.4948511
parameter_id,HMGULA_CBC_015_001
gene_symbol,Fgb
mouse_life_stage,E12.5
