analysis_id,y90mu570v007w1c
parameter_id,MGP_IMM_071_001
gene_accession_id,MGI:2385884
mouse_strain,129SV
pvalue,0.9911811
gene_symbol,Ddx27
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
