analysis_id,0330p00c36xw4q6
parameter_name,Platelet count
mouse_strain,C57BL
gene_symbol,Nanp
pvalue,0.1660008
gene_accession_id,MGI:1914561
parameter_id,IMPC_HEM_008_001
mouse_life_stage,E18.5
