parameter_name,Sacral processes
pvalue,0.8293433
parameter_id,IMPC_XRY_066_001
analysis_id,8241otl9zan724e
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
mouse_strain,129SV
