parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
analysis_id,ph640r38mc23064
gene_accession_id,MGI:1276578
mouse_strain,C57BL
parameter_id,IMPC_IMM_034_001
pvalue,0.7080184
gene_symbol,Gfi1b
