parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
gene_symbol,Slc30a4
analysis_id,6140i3z5dv0i971
gene_accession_id,MGI:1345282
pvalue,0.2550682
parameter_name,T cells - % of CD45+
mouse_life_stage,Late adult
