parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
analysis_id,48879032k79ro86
pvalue,0.4693226
gene_symbol,Nr0b2
parameter_name,Edema
mouse_strain,B6J
