gene_symbol,Stk35
analysis_id,295q580zd27k2w4
pvalue,0.3287413
parameter_name,Center average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914583
parameter_id,IMPC_OFD_017_001
