analysis_id,m6b53n0om9i87lk
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:3046938
pvalue,0.5051325
mouse_strain,C57BL
gene_symbol,Hrnr
parameter_name,Calcium
mouse_life_stage,Early adult
