parameter_name,Heart weight
pvalue,0.9642741
mouse_strain,C57BL
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
mouse_life_stage,Early adult
analysis_id,dzf8e2d6e5lcbw3
parameter_id,IMPC_HWT_008_001
