gene_symbol,Abo
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
parameter_name,cDCs CD11b Type
pvalue,0.8912102
analysis_id,0yqx9q598erdn3i
