parameter_name,eye size
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
parameter_id,ESLIM_001_001_117
pvalue,0.2176126
analysis_id,19972fq8851c0y4
