parameter_id,IMPC_GRS_009_001
pvalue,0.8970121
gene_accession_id,MGI:1332236
parameter_name,Forelimb and hindlimb grip strength measurement mean
analysis_id,5e199n2m46mf18v
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cds2
