parameter_name,PQ
analysis_id,r34w3u5b4cx5qbd
mouse_strain,C57BL
pvalue,0.7278354
gene_accession_id,MGI:2441730
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
