analysis_id,b6rw5u9q1q5w7e3
parameter_name,Aggression
pvalue,0.457999
mouse_strain,C57BL
gene_accession_id,MGI:109585
parameter_id,IMPC_CSD_079_001
gene_symbol,Pld1
mouse_life_stage,Early adult
