gene_symbol,Ncaph
parameter_name,Fat/Body weight
analysis_id,15r654s9cr31k6a
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
pvalue,0.7733542
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
