analysis_id,wv7airwf438s478
pvalue,0.07656478
gene_accession_id,MGI:1914071
parameter_name,Limb grasping
mouse_life_stage,Early adult
gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
