analysis_id,7o1w56oes7547ne
parameter_name,Center average speed
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
pvalue,2.731149e-14
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
