analysis_id,4c69fy1r9582411
parameter_name,Heart looping
gene_accession_id,MGI:96757
gene_symbol,Lcn2
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5286831
