gene_symbol,Ints7
analysis_id,9hd7m7m1elb543m
mouse_life_stage,E9.5
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
mouse_strain,C57BL
pvalue,0.5709872
gene_accession_id,MGI:1924315
