gene_symbol,Bmi1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8532046
analysis_id,8efg0r46968h2w3
parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
gene_accession_id,MGI:88174
