gene_symbol,Ahcy
analysis_id,44ujwpfe564o6vv
parameter_name,Distance travelled - total
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.1144277
parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:87968
