analysis_id,9an44vco5o6336y
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
gene_symbol,Gja10
gene_accession_id,MGI:1339969
pvalue,0.319376
mouse_life_stage,Early adult
parameter_name,Retina (combined)
