analysis_id,9dit63wslsxp201
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1923248
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_id,ESLIM_001_001_117
parameter_name,eye size
