parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
analysis_id,03x01924ah678m8
parameter_name,Right kidney weight
mouse_strain,C57BL
gene_symbol,Hspa5
pvalue,0.5586665
