analysis_id,18pq040xz2g8t36
gene_symbol,Bcs1l
mouse_strain,C57BL
pvalue,0.2410132
parameter_name,Alkaline phosphatase
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
parameter_id,HRWLLA_CBC_014_001
