gene_symbol,Ubxn4
gene_accession_id,MGI:1915062
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.3290948
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,89a1a2scj8b4v88
