analysis_id,jwd8tj5r75v1z71
pvalue,0.2985683
gene_accession_id,MGI:95576
gene_symbol,Fpgs
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_037_001
parameter_name,% Pre-pulse inhibition - Global
