gene_symbol,Gbp7
analysis_id,a5c29c2gc3s3uio
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Body position
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:2444421
pvalue,0.5673117
