parameter_name,Contact righting
gene_accession_id,MGI:2181659
gene_symbol,Tox
parameter_id,JAXLA_CSD_077_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8605411
analysis_id,1tsg6mg870sy47k
