analysis_id,vs1233ldthif071
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_strain,C57BL
pvalue,0.710182
parameter_name,Average duration
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
