analysis_id,v0da4ig70h8se15
mouse_strain,C57BL
parameter_name,Limb grasp
parameter_id,JAXLA_CSD_039_001
gene_accession_id,MGI:99501
gene_symbol,FGB
mouse_life_stage,E12.5
pvalue,0.812064
