parameter_id,IMPC_OFD_010_001
pvalue,0.3269954
gene_accession_id,MGI:2385884
parameter_name,Periphery distance travelled
analysis_id,n0d93qv371tb347
mouse_strain,C57BL
gene_symbol,Ddx27
mouse_life_stage,Early adult
