analysis_id,o1wk1ou9aroump2
gene_symbol,Traf6
pvalue,0.0680168
gene_accession_id,MGI:108072
parameter_name,KLRG1+ mature NK cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
