analysis_id,r7m2x77074a5yb0
mouse_strain,C57BL
pvalue,0.4363948
parameter_id,MGP_MLN_076_001
gene_symbol,Exd1
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
parameter_name,Naive CD8+ T cells - % of CD45+
