gene_symbol,Cldn19
pvalue,0.9525399
analysis_id,b5c2w86rm1c182b
mouse_strain,C57BL
gene_accession_id,MGI:3033992
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
parameter_name,Startle response
