analysis_id,0w0lbr7q25jk6gi
pvalue,0.1170801
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
parameter_id,IMPC_IMM_067_001
gene_symbol,Kif24
mouse_strain,C57BL
parameter_name,Follicular B Cells (CD21/35+)
