gene_symbol,Cd52
parameter_name,Alanine aminotransferase
mouse_strain,C57BL
pvalue,0.9506554
analysis_id,i93lb764ai46f6m
gene_accession_id,MGI:1346088
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
