parameter_name,Placenta Size
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_GPP_004_001
pvalue,0.1010949
analysis_id,3ienwj695z4rbko
gene_accession_id,MGI:109128
gene_symbol,Hnf4a
