gene_symbol,Cpa3
parameter_id,IMPC_OFD_018_001
analysis_id,p526g2139v1m303
gene_accession_id,MGI:88479
parameter_name,Latency to center entry
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8969892
