analysis_id,liu4cni30cgv3gj
gene_symbol,Kifap3
pvalue,0.7446439
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
parameter_name,Percentage center time
gene_accession_id,MGI:107566
