parameter_name,Percent time in light
gene_symbol,Nanp
mouse_strain,C57BL
analysis_id,2d113a6p766w7r2
pvalue,0.5997075
gene_accession_id,MGI:1914561
parameter_id,JAX_LDT_009_001
mouse_life_stage,Early adult
