gene_symbol,Npbwr1
pvalue,0.9180895
mouse_life_stage,Early adult
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
parameter_name,Limb coat/hair presence
analysis_id,y8y20x914l798k1
gene_accession_id,MGI:891989
