parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
pvalue,0.549595
analysis_id,33sw4771e7h20u6
gene_symbol,Hpca
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:1336200
