analysis_id,1565y2m6633280j
mouse_life_stage,Late adult
gene_symbol,Snap23
parameter_name,HDL-cholesterol
mouse_strain,C57BL
parameter_id,IMPC_CBC_016_001
gene_accession_id,MGI:109356
pvalue,0.1269706
