parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
parameter_id,IMPC_IMM_034_001
mouse_strain,129SV
analysis_id,697659zj29s86ry
pvalue,0.09415812
mouse_life_stage,Early adult
