parameter_name,Total protein
gene_accession_id,MGI:1922745
gene_symbol,Morn5
analysis_id,89ats91h95cg3s3
mouse_strain,C57BL
pvalue,0.9494271
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
