gene_symbol,Arpc5l
pvalue,0.3341585
analysis_id,25i68s424o4193s
parameter_name,Edema
mouse_strain,C57BL
gene_accession_id,MGI:1921442
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
