analysis_id,2276h8u93db08vs
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rab22a
gene_accession_id,MGI:105072
pvalue,0.5856886
parameter_name,Clavicle
