analysis_id,32814gg6o754mg8
pvalue,0.7615585
mouse_life_stage,E12.5
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
