analysis_id,g8p4felw93q2vha
parameter_name,Total protein
pvalue,2.790058e-10
gene_accession_id,MGI:1914061
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
gene_symbol,Duoxa2
mouse_strain,C57BL
