analysis_id,956d46ug2654e38
mouse_life_stage,Early adult
pvalue,0.6319779
parameter_name,B Cells
gene_symbol,Trpa1
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:3522699
