gene_symbol,Zmynd8
pvalue,0.2435346
parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
analysis_id,88h30990vl57pgi
gene_accession_id,MGI:1918025
